BPF Opcode Execution Sequence
========================================

Total steps: 143
Program size: unknown bytes

Complete sequence:
Step   0: 0x7F (RSH_REG)
Step   1: 0x7F (RSH_REG)
Step   2: 0x00 (EXIT)
Step   3: 0x00 (EXIT)
Step   4: 0x03 (BRANCH)
Step   5: 0x03 (BRANCH)
Step   6: 0xD8 (UNKNOWN_D8)
Step   7: 0xD8 (UNKNOWN_D8)
Step   8: 0x40 (UNKNOWN_40)
Step   9: 0x40 (UNKNOWN_40)
Step  10: 0xF8 (STX_B)
Step  11: 0xF8 (STX_B)
Step  12: 0x00 (EXIT)
Step  13: 0x00 (EXIT)
Step  14: 0x04 (BRANCHX)
Step  15: 0x04 (BRANCHX)
Step  16: 0x01 (CALL)
Step  17: 0x01 (CALL)
Step  18: 0x20 (UNKNOWN_20)
Step  19: 0x20 (UNKNOWN_20)
Step  20: 0x20 (UNKNOWN_20)
Step  21: 0x20 (UNKNOWN_20)
Step  22: 0x20 (UNKNOWN_20)
Step  23: 0x20 (UNKNOWN_20)
Step  24: 0x80 (UNKNOWN_80)
Step  25: 0x80 (UNKNOWN_80)
Step  26: 0x80 (UNKNOWN_80)
Step  27: 0x80 (UNKNOWN_80)
Step  28: 0x00 (EXIT)
Step  29: 0x00 (EXIT)
Step  30: 0x01 (CALL)
Step  31: 0x01 (CALL)
Step  32: 0xA0 (UNKNOWN_A0)
Step  33: 0xA0 (UNKNOWN_A0)
Step  34: 0xA0 (UNKNOWN_A0)
Step  35: 0xA0 (UNKNOWN_A0)
Step  36: 0xA0 (UNKNOWN_A0)
Step  37: 0xA0 (UNKNOWN_A0)
Step  38: 0xF0 (LDX_B)
Step  39: 0xF0 (LDX_B)
Step  40: 0xF0 (LDX_B)
Step  41: 0xF0 (LDX_B)
Step  42: 0x00 (EXIT)
Step  43: 0x00 (EXIT)
Step  44: 0x01 (CALL)
Step  45: 0x01 (CALL)
Step  46: 0x40 (UNKNOWN_40)
Step  47: 0x40 (UNKNOWN_40)
Step  48: 0x40 (UNKNOWN_40)
Step  49: 0x40 (UNKNOWN_40)
Step  50: 0x40 (UNKNOWN_40)
Step  51: 0x40 (UNKNOWN_40)
Step  52: 0x70 (UNKNOWN_70)
Step  53: 0x70 (UNKNOWN_70)
Step  54: 0x70 (UNKNOWN_70)
Step  55: 0x70 (UNKNOWN_70)
Step  56: 0x00 (EXIT)
Step  57: 0x00 (EXIT)
Step  58: 0x02 (CALLX)
Step  59: 0x02 (CALLX)
Step  60: 0x90 (UNKNOWN_90)
Step  61: 0x90 (UNKNOWN_90)
Step  62: 0x90 (UNKNOWN_90)
Step  63: 0x90 (UNKNOWN_90)
Step  64: 0x90 (UNKNOWN_90)
Step  65: 0x90 (UNKNOWN_90)
Step  66: 0xB0 (UNKNOWN_B0)
Step  67: 0xB0 (UNKNOWN_B0)
Step  68: 0xB0 (UNKNOWN_B0)
Step  69: 0xB0 (UNKNOWN_B0)
Step  70: 0x08 (UNKNOWN_08)
Step  71: 0x08 (UNKNOWN_08)
Step  72: 0xBF (MOV_REG64)
Step  73: 0xBF (MOV_REG64)
Step  74: 0xBF (MOV_REG64)
Step  75: 0xBF (MOV_REG64)
